time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802386,1562.75,38.82352941,74,-7.03125,-1.5625,-4.6875,-0.78125,79,29.5,17,12.01
1441802388,1537.75,51.37254902,75,-7.03125,-0.78125,-3.125,-1.5625,76,32.5,17,10.35
1441802389,1437.5,40.78431373,75,-3.125,-1.5625,BADDATA,-1.5625,73,30,17,26.52
1441802391,1403.5,67.84313725,75,-1.5625,0,0,0,73,20,17,BADDATA
1441802393,BADDATA,79.60784314,75,3.125,-1.5625,4.6875,-0.78125,75,14,17,29.84
1441802395,1465.25,74.50980392,76,2.34375,-0.78125,3.125,0,77,19,17,24.08
1441802396,1492,58.03921569,76,-1.5625,0.78125,0,0,78,22,17,27.96
1441802398,1508.25,66.2745098,76,0,0,-2.34375,0,80,21.5,17,29.01
1441802400,1547.75,72.94117647,76,0.78125,-0.78125,-2.34375,-0.78125,82,15,17,35.49
1441802402,1616.5,78.03921569,77,-0.78125,-0.78125,2.34375,-0.78125,86,16.5,17,33.66
1441802403,1676,70.58823529,77,3.90625,0,0,0,88,24.5,17,24.25
1441802405,1712.75,52.15686275,77,BADDATA,0,-2.34375,0,90,29,17,18.54
1441802407,1734.25,46.2745098,78,0,-0.78125,-3.125,-0.78125,90,31.5,17,15.5
1441802409,1733.5,45.09803922,78,-3.90625,-0.78125,-0.78125,0.78125,90,26.5,BADDATA,28.57
1441802410,1763.5,61.17647059,78,-0.78125,0.78125,-3.90625,0.78125,92,25.5,17,32.61
1441802412,1793.25,66.2745098,78,-3.125,0,0,0,94,22,17,33.11
1441802414,1840.25,61.56862745,79,-1.5625,0.78125,BADDATA,0,96,29.5,17,20.43
1441802416,1853,48.23529412,79,-0.78125,0,1.5625,0,96,29.5,17,19.71
1441802418,1853,47.84313725,79,0,0,BADDATA,0,96,30,17,24.08
1441802419,1847,50.98039216,79,BADDATA,0,0,0,97,28,17,29.73
1441802421,1872.5,55.68627451,79,0,0.78125,-2.34375,0,98,29.5,17,18.88
1441802423,1896,45.49019608,80,-3.125,0,-0.78125,0,99,29.5,17,21.15
1441802424,1909.75,48.62745098,80,-0.78125,0,-2.34375,BADDATA,100,29.5,17,22.86
1441802426,1935.5,49.01960784,82,0.78125,0,-3.125,0,101,30.5,17,18.05
1441802428,1960.75,42.74509804,82,-3.125,0,0,BADDATA,102,32,17,BADDATA
1441802430,1970,41.96078431,BADDATA,0,0,-2.34375,BADDATA,103,33,17,18.16
1441802432,1979.25,42.35294118,83,BADDATA,BADDATA,0.78125,0,103,33,17,18.16
1441802433,1976.25,41.96078431,83,-2.34375,0,2.34375,0,103,BADDATA,BADDATA,24.25
1441802435,1971.5,47.05882353,83,0.78125,0,-1.5625,0,103,29,17,23.42
1441802437,1976.25,51.76470588,83,2.34375,0.78125,-1.5625,0.78125,103,29,17,24.52
1441802438,1992.75,48.23529412,84,-1.5625,0,1.5625,0,103,30,16,30.01
1441802440,1992.75,57.25490196,84,0,0.78125,BADDATA,0,104,29.5,16,25.02
1441802442,2002.25,50.19607843,84,-0.78125,0,3.125,0,BADDATA,29.5,16,23.86
1441802444,2012,48.62745098,85,1.5625,0,-0.78125,0,104,BADDATA,16,20.43
1441802446,2000,44.70588235,85,-0.78125,0,-2.34375,0,103,31,BADDATA,25.63
1441802447,1985.5,58.43137255,85,-1.5625,0.78125,2.34375,0,103,29.5,16,25.19
1441802449,1980,50.98039216,86,0,0,-2.34375,0,102,29.5,16,25.02
1441802451,BADDATA,52.54901961,86,-1.5625,BADDATA,0,0,101,29.5,16,24.52
1441802452,1931,49.41176471,86,-3.125,0,0.78125,0,99,29.5,16,20.93
1441802454,1891.75,BADDATA,86,0.78125,0,1.5625,0.78125,97,28,16,29.56
1441802456,1874.75,62.35294118,87,-1.5625,0.78125,3.90625,0.78125,98,25.5,16,26.07
1441802458,1881.75,52.94117647,87,-1.5625,0,0.78125,0,98,29.5,16,24.25
1441802459,1865.5,52.94117647,87,2.34375,0,-0.78125,0,BADDATA,29.5,16,21.87
1441802461,1879.5,56.8627451,87,1.5625,0.78125,-0.78125,0,98,23,16,27.24
1441802463,1898.25,53.33333333,88,-3.125,0,-0.78125,0,99,30.5,16,18.77
1441802465,1892.5,45.09803922,88,-3.125,0,0,0,98,29,16,23.69
1441802467,1889.5,52.54901961,88,3.90625,0,-1.5625,0,98,30,16,21.53
1441802468,1883.75,49.01960784,89,2.34375,0,-1.5625,0,98,30,16,20.32
1441802470,1871.75,49.80392157,89,0,0,1.5625,0,97,29.5,16,21.26
1441802472,1848.25,58.43137255,89,0.78125,0.78125,2.34375,0.78125,96,23.5,16,28.12
1441802473,1854.5,58.03921569,89,-2.34375,0.78125,1.5625,0.78125,97,25,16,27.96
1441802475,1860,56.47058824,90,BADDATA,0.78125,0,0,96,29.5,16,19.04
1441802477,1843.5,45.88235294,90,-3.90625,0,-0.78125,-0.78125,95,31.5,16,17.1
1441802479,1808.75,45.88235294,90,-3.125,0,0,0,93,30,16,19.26
1441802481,1781.75,49.01960784,90,1.5625,BADDATA,-2.34375,0,92,30,16,23.42
1441802482,1761.75,57.64705882,92,3.125,0.78125,-0.78125,0.78125,92,23.5,16,28.23
1441802484,1774.75,61.17647059,92,-1.5625,0.78125,-3.125,0.78125,92,29,16,23.03
1441802486,1769.25,54.90196078,92,0,0.78125,2.34375,0.78125,92,21.5,15,32.05
1441802487,1789.5,67.84313725,92,2.34375,0,-2.34375,0.78125,93,24,15,32.05
1441802489,1801,68.62745098,92,3.125,0,-0.78125,-0.78125,94,16.5,15,35.27
1441802491,1820.75,68.62745098,93,2.34375,0,-3.125,0,96,19.5,15,33.33
1441802493,1856.5,65.49019608,93,1.5625,0,-3.125,0,97,20.5,15,31.89
1441802494,1874,58.82352941,93,0,0.78125,-4.6875,0.78125,98,24.5,15,26.63
1441802496,1882.5,52.54901961,93,-2.34375,0.78125,-3.90625,0.78125,98,29,15,25.35
1441802498,1891.75,52.54901961,94,0.78125,0.78125,1.5625,0,98,29.5,15,21.37
1441802499,1881.75,49.41176471,BADDATA,-3.125,0,0.78125,0,98,21,15,33.49
1441802501,1901.75,59.21568627,94,3.125,0.78125,BADDATA,0.78125,99,29.5,15,24.75
1441802503,1912,51.76470588,94,0.78125,0,2.34375,0,99,29.5,15,20.09
1441802505,1910.5,38.03921569,94,-3.125,-0.78125,-0.78125,-0.78125,98,31.5,15,10.85
1441802506,1878.75,29.80392157,95,-3.90625,-0.78125,-5.46875,0.78125,97,21.5,15,33.33
1441802508,1894.5,59.60784314,95,2.34375,0.78125,-0.78125,0,99,29.5,15,19.49
1441802510,1901.75,52.15686275,96,3.125,0,BADDATA,BADDATA,99,31,BADDATA,16.33
1441802512,1912.75,40,96,0,0,1.5625,0,99,33,BADDATA,12.9
1441802514,1909,BADDATA,96,-1.5625,-0.78125,-3.125,-0.78125,99,33.5,15,15.33
1441802515,1897.5,39.21568627,98,-1.5625,-0.78125,BADDATA,0,99,31.5,15,17.82
1441802517,1901.75,43.52941176,98,2.34375,0,3.125,0,99,33.5,15,13.45
1441802519,1903.25,37.64705882,98,-3.125,-0.78125,0,-0.78125,99,32,15,10.46
1441802521,1886.75,28.23529412,99,-4.6875,-0.78125,-6.25,-0.78125,97,30,15,9.8
1441802522,1855.25,40.39215686,99,-2.34375,0,0,0.78125,96,20.5,15,22.86
1441802524,1864.25,45.88235294,99,-3.125,0,0,0,96,31,15,11.4
1441802526,1828.75,32.54901961,99,-2.34375,-0.78125,-3.90625,-0.78125,94,29.5,15,7.14
1441802528,1753,26.2745098,100,-3.125,-0.78125,-5.46875,-0.78125,91,29,15,7.19
1441802529,1715.75,21.96078431,100,-3.90625,0,-3.125,0,89,27.5,15,8.02
1441802531,BADDATA,53.33333333,100,-1.5625,0.78125,0.78125,0,89,BADDATA,15,29.01
1441802533,1737.25,BADDATA,100,BADDATA,0,3.90625,-0.78125,90,33.5,15,12.29
